gene	mean_diff	tstat	p	n_old	n_young	fdr
ENSG00000136367	-0.19439747308245203	-4.539985423235037	1.0520376838094401e-05	88	90	0.05764908816636355
ENSG00000182749	-0.10383610773242413	-4.460042289207718	1.5003066627928662e-05	88	90	0.05764908816636355
ENSG00000253305	-0.19734377414451432	-4.3668745246304885	2.1840068356990645e-05	88	90	0.05764908816636355
ENSG00000075461	-0.451844881734456	-4.321293437848969	2.609683591557277e-05	88	90	0.05764908816636355
ENSG00000166578	-0.17818075112029708	-4.304641426437025	2.772675497753024e-05	88	90	0.05764908816636355
ENSG00000141424	-0.10017112079012369	-4.275569021254665	3.133509237886261e-05	88	90	0.05764908816636355
ENSG00000257267	-0.1040112512934086	-4.239910878122483	3.631627445008149e-05	88	90	0.05764908816636355
ENSG00000108590	-0.11737613967703697	-4.233663482004058	3.723620584821082e-05	88	90	0.05764908816636355
ENSG00000221886	-0.13694098913639285	-4.226883137146334	3.813604803562629e-05	88	90	0.05764908816636355
ENSG00000091164	-0.0657596533735898	-4.211600301715744	4.0610506240657195e-05	88	90	0.05764908816636355
ENSG00000280798	-0.108109353171431	-4.161112225055995	5.070022270626782e-05	88	90	0.05764908816636355
ENSG00000101558	-0.06568079093373091	-4.1595352852512235	5.138863772130325e-05	88	90	0.05764908816636355
ENSG00000204764	-0.23633888022693605	-4.149845246319324	5.187768259657458e-05	88	90	0.05764908816636355
ENSG00000186814	-0.13984539671359286	-4.142035516745964	5.425051501767099e-05	88	90	0.05764908816636355
ENSG00000172361	-0.19178216523616531	-4.139798776642113	5.4780891914457886e-05	88	90	0.05764908816636355
ENSG00000147127	-0.15512087646323858	-4.130652369804409	5.587307121975292e-05	88	90	0.05764908816636355
ENSG00000176809	-0.18928669921715846	-4.106798477165177	6.179923218151038e-05	88	90	0.05764908816636355
ENSG00000069966	-0.10516827349445035	-4.090388688439919	6.551811292200819e-05	88	90	0.05764908816636355
ENSG00000279207	-0.15284159391576324	-4.077372434291508	6.951479404242477e-05	88	90	0.05764908816636355
ENSG00000276547	-0.32611275200156764	-4.065761008302541	7.21739653654984e-05	88	90	0.05764908816636355
ENSG00000125388	-0.139720130653064	-4.061050133108513	7.344663631793679e-05	88	90	0.05764908816636355
ENSG00000173451	-0.12546575448756858	-4.060422196262726	7.417275511199475e-05	88	90	0.05764908816636355
ENSG00000158156	-0.07630966773811343	-4.029729767638952	8.363678791963222e-05	88	90	0.059189152013265495
ENSG00000181004	-0.13250134595985963	-4.008247501287614	9.324177090345855e-05	88	90	0.059189152013265495
ENSG00000114988	-0.07132214445238194	-3.9629580086888585	0.00010776189349969246	88	90	0.059189152013265495
ENSG00000175155	-0.12315959177191704	-3.9699375286920335	0.00010891604672360366	88	90	0.059189152013265495
ENSG00000197208	-0.1776378607123248	-3.951572335944656	0.00011226699274917333	88	90	0.059189152013265495
ENSG00000064199	-0.15373456369622818	-3.9489453729906194	0.00011351057050751603	88	90	0.059189152013265495
ENSG00000063322	-0.06659788993099003	-3.9422387141110624	0.00011642033275631512	88	90	0.059189152013265495
ENSG00000065559	-0.09726714298630545	-3.9510893931255335	0.00011844285174472338	88	90	0.059189152013265495
ENSG00000163875	-0.07385458192857497	-3.9419921063073353	0.00012373991403510733	88	90	0.059189152013265495
ENSG00000085185	-0.12391448286173867	-3.926322439191889	0.00012396411523139087	88	90	0.059189152013265495
ENSG00000138443	-0.12006255591940973	-3.920429177459376	0.0001302667749023637	88	90	0.059189152013265495
ENSG00000131398	-0.21843298964689217	-3.912162963168983	0.00013051349525456632	88	90	0.059189152013265495
ENSG00000176371	-0.1048218778828156	-3.9119377859139455	0.00013072239186705278	88	90	0.059189152013265495
ENSG00000135211	-0.05249211836648504	-3.913383152849247	0.00013171245265501422	88	90	0.059189152013265495
ENSG00000108406	-0.08557143893521513	-3.9133577145893073	0.00013252460276153005	88	90	0.059189152013265495
ENSG00000151233	-0.11641868644818376	-3.9207424652225478	0.00013316895674156238	88	90	0.059189152013265495
ENSG00000065923	-0.143300557650468	-3.903020058029202	0.00013890526377479014	88	90	0.059189152013265495
ENSG00000108468	-0.07393783631957263	-3.8915018263968597	0.00014827622304907877	88	90	0.059189152013265495
ENSG00000184619	-0.15845177657807596	-3.8761239776408276	0.0001505862558098603	88	90	0.059189152013265495
ENSG00000184277	-0.08062571373591387	-3.88284412037245	0.00015134795873651889	88	90	0.059189152013265495
ENSG00000165775	-0.05822204439401668	-3.8595399931140792	0.000159311526940865	88	90	0.059189152013265495
ENSG00000006712	-0.061315280041132514	-3.8374812224743455	0.0001741593644046555	88	90	0.059189152013265495
ENSG00000266053	-0.12822366143985242	-3.829482674220808	0.0001817875137489845	88	90	0.059189152013265495
ENSG00000198954	-0.09343745785557811	-3.8307315094669567	0.00018272184492251818	88	90	0.059189152013265495
ENSG00000250462	-0.09140324772101471	-3.822782930957961	0.00018384105870094224	88	90	0.059189152013265495
ENSG00000136425	-0.12271607060210932	-3.8200907448123216	0.0001847839276073483	88	90	0.059189152013265495
ENSG00000166886	-0.10530783766276963	-3.824770048076012	0.00018487998157860997	88	90	0.059189152013265495
ENSG00000152223	-0.13404333939385338	-3.8263949414798613	0.00018527900740837225	88	90	0.059189152013265495
ENSG00000127990	-0.1693964407361812	-3.817533945800921	0.00018725246262204094	88	90	0.059189152013265495
ENSG00000143479	-0.13256411733310092	-3.8041567410553743	0.00019609841840052068	88	90	0.059189152013265495
ENSG00000205189	-0.15127559316894934	-3.8077499630499325	0.00019637700136650358	88	90	0.059189152013265495
ENSG00000107789	-0.07999968999359375	-3.8103189323761137	0.0001982409812651838	88	90	0.059189152013265495
ENSG00000135365	-0.09130657070842263	-3.8154422630562386	0.00020111308574081573	88	90	0.059189152013265495
ENSG00000128872	-0.18632348936903398	-3.7987253996928687	0.00020263010381120345	88	90	0.059189152013265495
ENSG00000105227	-0.14570777651944833	-3.796091662675725	0.00020396336555441975	88	90	0.059189152013265495
ENSG00000164970	-0.09904758652288681	-3.78967019026456	0.00020904651074021347	88	90	0.059189152013265495
ENSG00000141664	-0.11425833637266547	-3.7879982099901492	0.00021369777732631223	88	90	0.059189152013265495
ENSG00000120727	-0.08041318827562671	-3.7870791500457313	0.0002172640276888963	88	90	0.059189152013265495
ENSG00000119537	-0.07997398924400656	-3.769700833656402	0.00022371574010126771	88	90	0.059189152013265495
ENSG00000152763	-0.14587158008349443	-3.7694807566351987	0.0002241089089264817	88	90	0.059189152013265495
ENSG00000149289	-0.17999112006815232	-3.772684546148889	0.00022476742876909085	88	90	0.059189152013265495
ENSG00000172466	-0.08038160919553183	-3.768825549369659	0.00022641261895733225	88	90	0.059189152013265495
ENSG00000107282	-0.18708267806673806	-3.7629377666712807	0.00022855093973368	88	90	0.059189152013265495
ENSG00000154240	-0.14663381387272523	-3.7636201959085605	0.00022929130913741162	88	90	0.059189152013265495
ENSG00000080561	-0.14972709408001506	-3.7552747878729527	0.00023536599866183882	88	90	0.059189152013265495
ENSG00000128590	-0.07559655233719687	-3.754968077637453	0.00023538583173881826	88	90	0.059189152013265495
ENSG00000221890	-0.19328063268923312	-3.750085680119039	0.00024348918532068499	88	90	0.06005061576076142
ENSG00000108830	-0.2206051628616813	-3.7498347730703134	0.000245835610459869	88	90	0.06005061576076142
ENSG00000172992	-0.06818455504878429	-3.7357333302396403	0.0002541153917885679	88	90	0.060856719348997994
ENSG00000179029	-0.09951779288167706	-3.732072640063553	0.00025630109676405365	88	90	0.060856719348997994
ENSG00000134294	-0.08454832458742878	-3.7284830044445587	0.00026253787514116285	88	90	0.060856719348997994
ENSG00000143845	-0.1959061746395041	-3.726254661615811	0.00026337196513397576	88	90	0.060856719348997994
ENSG00000040199	-0.1504219485563505	-3.717571010832934	0.00027180117133052107	88	90	0.0615470317492003
ENSG00000108828	-0.06001734028159067	-3.7174047297619337	0.0002788012571250813	88	90	0.0615470317492003
ENSG00000177576	-0.14774732837109417	-3.707675437920848	0.00028041832572488993	88	90	0.0615470317492003
ENSG00000107643	-0.08335016704691922	-3.709503103180733	0.00028278091974923456	88	90	0.0615470317492003
ENSG00000157796	-0.1172457554271229	-3.695418001326706	0.00029830697366051243	88	90	0.0615470317492003
ENSG00000169057	-0.08055153726045416	-3.690192315334053	0.000302286694750336	88	90	0.0615470317492003
ENSG00000134278	-0.1785899937229174	-3.68847309570495	0.0003087847365489592	88	90	0.0615470317492003
ENSG00000226137	-0.08948840521863177	-3.683084343396436	0.0003088197233288574	88	90	0.0615470317492003
ENSG00000115977	-0.11739879707721612	-3.67966229102069	0.0003102381395877403	88	90	0.0615470317492003
ENSG00000251192	-0.10655469286601593	-3.685633824737904	0.0003111357460798605	88	90	0.0615470317492003
ENSG00000005893	-0.06889140607792488	-3.674043499273495	0.00031707731467341094	88	90	0.0615470317492003
ENSG00000100417	-0.10094701795188721	-3.6736432420636858	0.0003171495752871952	88	90	0.0615470317492003
ENSG00000172426	-0.17470420130765874	-3.6778333402796277	0.0003192728918219897	88	90	0.0615470317492003
ENSG00000119636	-0.13910275556800844	-3.669380110986444	0.00032284776807286873	88	90	0.0615470317492003
ENSG00000151014	-0.14155487984563386	-3.6699524466511924	0.0003262242527020452	88	90	0.0615470317492003
ENSG00000134759	-0.06889126513375832	-3.6631162644744975	0.0003316404148850302	88	90	0.0615470317492003
ENSG00000171174	-0.10153833824285452	-3.657909057441385	0.0003372015661273916	88	90	0.0615470317492003
ENSG00000119669	-0.0834164994676776	-3.652938931441528	0.0003428270162548013	88	90	0.0615470317492003
ENSG00000102038	-0.12440270614546955	-3.655189384211598	0.0003475327423696285	88	90	0.0615470317492003
ENSG00000101882	-0.07596294823615857	-3.6486034991153233	0.00034829586500295445	88	90	0.0615470317492003
ENSG00000084652	-0.05756944842369327	-3.6547683050207183	0.00034984351032559343	88	90	0.0615470317492003
ENSG00000164366	-0.07588853388320516	-3.651360282731044	0.00035168950569828725	88	90	0.0615470317492003
ENSG00000126070	-0.12182681685084451	-3.64910842930639	0.0003534820262246005	88	90	0.0615470317492003
ENSG00000100228	-0.1418243567548223	-3.6434126308354804	0.00035519956563671374	88	90	0.0615470317492003
ENSG00000091844	-0.21130783483449123	-3.641801330127266	0.00035635687739205625	88	90	0.0615470317492003
ENSG00000110442	-0.06322203078273247	-3.6414161740375217	0.00036348308209144486	88	90	0.0615470317492003
ENSG00000158290	-0.07076662679568724	-3.6435216876515493	0.0003635446638206463	88	90	0.0615470317492003
ENSG00000176896	-0.10914752627978652	-3.6335798282384615	0.00037225109276156805	88	90	0.06240315132480443
ENSG00000137821	-0.15707245361517175	-3.624704923124068	0.00037857198410865857	88	90	0.06265105423771875
ENSG00000071553	-0.051679557644629615	-3.6230719840664363	0.0003811696821042161	88	90	0.06265105423771875
ENSG00000101654	-0.09014558196423605	-3.627326845926546	0.0003860926231500467	88	90	0.06265105423771875
ENSG00000110925	-0.09193830492163091	-3.6323335775524788	0.0003888952352266293	88	90	0.06265105423771875
ENSG00000125966	-0.22161945516059345	-3.6149229282987676	0.0003920499914284991	88	90	0.06265105423771875
ENSG00000197971	-0.11960028836840664	-3.6125713347425727	0.0003975959606503238	88	90	0.06294901232555451
