gene	mean_diff	tstat	p	n_males	n_females	fdr
ENSG00000067048	2.3456532792076867	54.7107136890765	3.4716718115595834e-112	98	80	5.9362116305857314e-108
ENSG00000198692	2.0920221481669268	52.60922559447232	1.7198273914542322e-102	98	80	1.470366428323796e-98
ENSG00000012817	2.125579898898911	51.48697085899478	2.1661406701693935e-95	98	80	1.2346279773075487e-91
ENSG00000131002	1.8045909192599878	41.1253577938072	4.26886881380145e-74	98	80	1.824834696179775e-70
ENSG00000183878	1.6718402676310977	39.07748511190414	3.639687010992449e-71	98	80	1.2447001640191979e-67
ENSG00000129824	2.64731270609446	47.078208019406276	1.696046812091826e-70	98	80	4.8334507399930224e-67
ENSG00000114374	1.6021677612274692	36.23686409119103	4.625034302789213e-63	98	80	1.1297637363341823e-59
ENSG00000067646	1.633931871706191	36.33154582184484	1.7630671770226309e-62	98	80	3.7683357074887456e-59
ENSG00000006757	-0.17467877786259223	-7.987248750752166	2.866347312030446e-13	98	80	5.445741409823177e-10
ENSG00000173674	-0.1126521235186595	-7.3070615675266914	9.529056639804067e-12	98	80	1.6293733948400974e-08
ENSG00000147050	-0.25244175288482573	-7.213983742461534	1.695140700384158e-11	98	80	2.635019166897156e-08
ENSG00000198034	-0.056865640028537	-7.179131089715285	2.094324463460248e-11	98	80	2.9842378333922316e-08
ENSG00000169249	-0.12519191151530507	-6.733576271104623	2.2598666645475305e-10	98	80	2.972420007469094e-07
ENSG00000005889	-0.19032739060808312	-6.430330592131176	1.3717789094115455e-09	98	80	1.5889700856650972e-06
ENSG00000130021	-0.1732966427288174	-6.396481671949343	1.3939149239707854e-09	98	80	1.5889700856650972e-06
ENSG00000126012	-0.11591141530302451	-6.144194643304071	5.252019879799493e-09	98	80	5.612767995293221e-06
ENSG00000086712	-0.12948645178326457	-5.064480954005361	1.0318436905329257e-06	98	80	0.001037852662613088
ENSG00000215301	-0.1007490633234629	-4.864588782151824	2.6526684259909914e-06	98	80	0.002519887634223331
ENSG00000169895	-0.07615326360413066	-4.841009259953146	2.8474019005497703e-06	98	80	0.0025625118472368696
ENSG00000069509	-0.08979916026605661	-4.804130535186341	3.348271381087403e-06	98	80	0.0028626046172606752
ENSG00000072501	-0.11771221953861266	-4.644961908523682	6.666679838825476e-06	98	80	0.005428264693527468
ENSG00000285756	-0.15660418808770749	-4.621974340919164	7.373887715403877e-06	98	80	0.005731186638440494
